order_id,customer_id,order_status,order_date,amount,country,updated_at
1001,501,COMPLETED,2026-01-05 10:15:00,129.99,US,2026-01-05 10:15:00
1002,502,COMPLETED,2026-01-06 14:22:00,59.50,GB,2026-01-06 14:22:00
1003,501,CANCELLED,2026-01-07 09:05:00,89.00,US,2026-01-08 11:00:00
1004,503,COMPLETED,2026-01-10 18:40:00,249.00,DE,2026-01-10 18:40:00
1005,504,PENDING,2026-01-12 08:00:00,39.99,FR,2026-01-12 08:00:00
1006,505,COMPLETED,2026-01-15 16:30:00,199.95,US,2026-01-15 16:30:00
1007,502,COMPLETED,2026-01-18 12:10:00,74.20,GB,2026-01-18 12:10:00
1008,506,COMPLETED,2026-01-20 20:05:00,310.00,IT,2026-01-20 20:05:00
1009,507,CANCELLED,2026-01-22 07:45:00,45.00,US,2026-01-23 09:00:00
1010,508,COMPLETED,2026-01-25 13:25:00,159.49,ES,2026-01-25 13:25:00
1011,501,COMPLETED,2026-02-02 11:00:00,99.99,US,2026-02-02 11:00:00
1012,509,COMPLETED,2026-02-04 15:35:00,215.00,GB,2026-02-04 15:35:00
1013,503,PENDING,2026-02-06 09:50:00,64.75,DE,2026-02-06 09:50:00
1014,510,COMPLETED,2026-02-09 19:15:00,142.30,US,2026-02-09 19:15:00
1015,505,COMPLETED,2026-02-11 08:40:00,88.88,US,2026-02-11 08:40:00
1016,511,CANCELLED,2026-02-13 17:20:00,55.60,FR,2026-02-14 10:00:00
1017,506,COMPLETED,2026-02-16 12:05:00,275.00,IT,2026-02-16 12:05:00
1018,507,COMPLETED,2026-02-19 21:30:00,120.00,US,2026-02-19 21:30:00
1019,512,COMPLETED,2026-02-22 06:55:00,190.10,GB,2026-02-22 06:55:00
1020,508,COMPLETED,2026-02-25 14:45:00,63.40,ES,2026-02-25 14:45:00
